# Benchmark GPU-STREAM running on        Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    41574400            317.18             25329.972          25448.196          28327.672          29114.575          
    41984000            320.31             25265.882          25569.792          28503.989          29174.127          
    42393600            323.43             25470.226          25582.621          28413.148          29147.346          
    42803200            326.56             25367.678          25543.665          28355.097          29079.907          
    43212800            329.68             25119.157          25765.038          28420.904          29006.746          
    43622400            332.81             25140.782          25621.614          28572.845          29279.235          
    44032000            335.93             25250.421          25303.929          28378.753          29215.891          
    44441600            339.06             25600.000          25648.016          28527.064          29161.155          
    44851200            342.18             25383.580          25419.546          28368.133          28966.626          
    45260800            345.31             25385.522          25640.789          28629.466          29250.053          
    45670400            348.43             25600.000          25736.146          28451.385          29170.715          
    46080000            351.56             25492.894          25623.132          28657.459          29021.440          
    46489600            354.68             25218.973          25634.407          28516.124          29330.978          
    46899200            357.81             25383.506          25734.326          28578.195          29511.820          
    47308800            360.93             25392.177          25471.642          28366.842          29046.078          
    47718400            364.06             25176.232          25693.041          28635.335          29098.064          
    48128000            367.18             25517.712          25578.741          28466.877          29291.271          
    48537600            370.31             25640.571          25688.066          28716.933          29210.923          
    48947200            373.43             25318.609          25587.454          28496.332          29094.829          
    49356800            376.56             25501.624          25495.861          28752.930          29069.749          
    49766400            379.68             25135.339          25502.431          28575.377          29162.136          
    50176000            382.81             25172.959          25676.965          28738.372          29194.017          
    50585600            385.93             25495.971          25624.315          28329.352          29119.601          
    50995200            389.06             25381.006          25656.349          28795.257          29188.762          
    51404800            392.18             25584.870          25752.295          28484.374          29318.327          
    51814400            395.31             25259.145          25544.783          28444.705          29387.820          
    52224000            398.43             25616.481          25762.595          28470.289          29143.535          
    52633600            401.56             25321.354          25357.189          28435.224          28975.947          
    53043200            404.68             25566.838          25477.041          28353.976          29174.003          
    53452800            407.81             25344.341          25515.224          28803.233          29225.150          
    53862400            410.93             25237.156          25428.533          28630.542          29175.264          
    54272000            414.06             25452.179          25793.144          28910.374          29151.068          
    54681600            417.18             25547.673          25669.853          28650.986          29315.963          
    55091200            420.31             25345.310          25612.646          28511.425          29234.502          
    55500800            423.43             25286.543          25436.476          28524.117          28858.444          
    55910400            426.56             25352.597          25803.808          28604.157          29292.910          
