# Benchmark GPU-STREAM running on  Intel(R) Many Integrated Core Acceleration Card
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    41574400            317.18             59418.526          58871.617          72703.702          73637.314          
    41984000            320.31             61234.640          60316.423          72339.436          72968.064          
    42393600            323.43             62109.477          61939.330          72815.172          73045.186          
    42803200            326.56             56324.632          58225.744          72297.614          72450.582          
    43212800            329.68             56565.884          59696.495          71926.430          73190.346          
    43622400            332.81             59644.368          55751.929          72392.311          73202.182          
    44032000            335.93             56415.119          55962.507          73041.747          73657.768          
    44441600            339.06             55189.817          54061.096          71790.967          73828.366          
    44851200            342.18             55307.838          51888.590          65293.510          71253.644          
    45260800            345.31             54882.365          50022.297          69932.350          68785.410          
    45670400            348.43             49193.914          52261.937          69447.481          71429.756          
    46080000            351.56             49432.115          55243.519          71349.677          73084.853          
    46489600            354.68             49978.741          52412.176          72715.746          70563.521          
    46899200            357.81             52577.578          54148.304          73514.519          74090.363          
    47308800            360.93             51991.263          51905.698          71589.609          73799.883          
    47718400            364.06             53862.039          55165.780          73098.972          72068.567          
    48128000            367.18             51504.782          59079.945          72137.897          69382.028          
    48537600            370.31             54167.650          57632.772          72340.707          74225.972          
    48947200            373.43             53508.828          55681.138          71135.570          73078.246          
    49356800            376.56             58306.911          55293.992          73809.159          73772.386          
    49766400            379.68             61463.713          56629.144          73029.263          73127.631          
    50176000            382.81             55180.150          52844.655          72837.598          69608.324          
    50585600            385.93             57857.574          55311.255          72390.102          71456.998          
    50995200            389.06             55984.850          53788.859          72354.999          73273.352          
    51404800            392.18             57001.649          55000.455          73396.109          74061.424          
    51814400            395.31             57344.567          53558.395          70857.299          73840.366          
    52224000            398.43             54534.917          54538.477          69293.233          73258.285          
    52633600            401.56             54726.904          52254.753          72903.930          73932.249          
    53043200            404.68             58089.747          59427.995          72438.648          73188.272          
    53452800            407.81             56664.997          56310.561          73006.328          73804.349          
    53862400            410.93             57171.182          53926.438          73569.950          74731.044          
    54272000            414.06             55885.700          55849.756          73456.350          74007.273          
    54681600            417.18             62253.138          56745.726          74574.293          74735.672          
    55091200            420.31             59209.995          58448.326          74263.581          74105.414          
    55500800            423.43             59224.543          60877.000          73849.265          74062.786          
    55910400            426.56             60159.139          59657.646          73736.103          75203.138          
    56320000            429.68             59027.905          60223.217          74089.016          74076.835          
    56729600            432.81             61792.743          61329.297          74015.243          74456.437          
    57139200            435.93             60830.874          58514.286          73946.659          73970.592          
    57548800            439.06             61822.264          57063.758          74561.175          74888.641          
    57958400            442.18             60804.826          56565.475          74218.419          74556.553          
    58368000            445.31             59818.601          59133.034          74071.066          74377.827          
